signal,seed,location,fold,source_idx,itl3,n_edges,n_off,off_frac,aux_mass_v_sum,valid,G_all,G_off,ratio_off,min_w,n_w_below_floor,n_off_gradient_gated,max_t_off
ntl,42,TLH1,fold4,1,TLH12,12142,11596,0.9550321199143469,1093.3893375086245,True,1711.5756682197834,86.28455302599629,0.050412350811075264,3.849309315739902e-09,241,241,1e-08
ntl,42,TLH1,fold4,2,TLH14,15043,14439,0.9598484344878017,1172.104138790746,True,4063.845761516289,2102.298830863746,0.5173175740998948,1.781766378883276e-08,0,0,1e-08
ntl,42,TLH1,fold4,3,TLH15,3100,2808,0.9058064516129032,647.6518436115565,True,746.7829764391079,42.9934039637554,0.057571483711052494,2.490478152594733e-07,0,0,1e-08
ntl,42,TLH1,fold4,4,TLH16,9769,9571,0.9797318046882997,346.95908576138015,True,1244.090465345171,339.61898465750636,0.2729857627863739,1.2117693870550283e-07,0,0,1e-08
ntl,42,TLH1,fold4,5,TLH17,8885,8675,0.9763646595385481,363.92083360892804,True,904.6275960834367,157.63041598478458,0.1742489579880623,2.888901062814142e-10,3260,3260,1e-08
prox,42,TLH1,fold4,0,TLH11,1383,1172,0.8474331164135936,360.9578088054378,True,469.1627066304762,18.860553258810924,0.04020045283280785,5.7917084461678314e-08,0,0,1e-08
prox,42,TLH1,fold4,1,TLH12,12142,11596,0.9550321199143469,994.0999327934752,True,1810.1633339276977,86.28455302599629,0.047666722338683,3.849309315739902e-09,241,241,1e-08
prox,42,TLH1,fold4,2,TLH14,15043,14439,0.9598484344878017,1100.185054722652,True,4292.893318627341,2102.298830863746,0.48971606672395934,1.781766378883276e-08,0,0,1e-08
prox,42,TLH1,fold4,3,TLH15,3100,2808,0.9058064516129032,575.6623357894343,True,810.4394371173353,42.9934039637554,0.053049496353088775,2.490478152594733e-07,0,0,1e-08
prox,42,TLH1,fold4,4,TLH16,9769,9571,0.9797318046882997,331.73041447178764,True,1334.7438262671958,339.61898465750636,0.25444506876446843,1.2117693870550283e-07,0,0,1e-08
prox,42,TLH1,fold4,5,TLH17,8885,8675,0.9763646595385481,389.5801822222198,True,977.5511700384674,157.63041598478458,0.16125029647152048,2.888901062814142e-10,3260,3260,1e-08
ntl,42,TLE3,fold2,0,TLE31,39729,32711,0.8233532180523043,17134.178271160625,True,15019.646810897935,457.4825584229206,0.030458942489312132,2.712583282993286e-11,6080,6080,1e-08
ntl,42,TLE3,fold2,1,TLE32,12298,8805,0.7159700764351927,8772.019874585512,True,7181.2294131904155,142.55332061369407,0.01985082392046318,1.6695822502299507e-10,4436,4436,1e-08
